;GSM237280.CEL;GSM237281.CEL;GSM237282.CEL;GSM237283.CEL;GSM237292.CEL;GSM237293.CEL;GSM237294.CEL;GSM237295.CEL;
267646_at;4.43689;4.39932;4.65758;4.23424;4.39895;4.31165;4.59909;4.44206;
267593_at;3.16925;3.14772;3.1443;3.16759;3.31911;3.47049;3.44069;3.26796;
267594_at;4.02654;3.87569;4.06084;4.02536;4.21831;4.15294;4.10486;3.97955;
267595_at;7.97682;7.98177;8.29529;8.14986;7.39708;7.24123;5.83928;6.10231;
267596_s_at;6.52226;6.89165;6.69473;7.1718;8.77372;9.44219;9.63627;9.07868;
267597_at;4.69789;4.61714;4.61698;4.68571;4.62779;4.47088;4.62763;4.55785;
267598_at;3.90978;3.8841;4.18925;3.91815;4.01275;4.33236;4.26114;4.36814;
267599_at;8.27561;8.39633;8.34927;8.40594;7.66041;7.6181;7.61565;7.70665;
267600_at;11.80602;11.67436;11.80153;11.72166;11.0843;11.0031;11.16286;11.26721;
267601_at;8.52595;8.69341;8.22453;8.35395;7.91908;7.95056;7.95803;7.87911;
267602_at;7.02574;7.10439;6.58944;6.85071;7.62625;7.37673;7.24889;7.51969;
267603_at;7.40065;7.29101;7.47064;7.06973;6.9797;6.66032;6.78129;7.19873;
267604_at;5.69482;5.56469;5.93986;5.81552;5.49008;5.18692;5.13045;5.27096;
267605_at;8.96918;8.7954;8.99853;8.99939;8.04602;8.17832;7.99639;7.81035;
267606_at;6.55372;6.63977;6.42145;6.48339;6.33258;6.98136;6.2661;6.10562;
267607_s_at;4.34863;4.18986;4.15465;4.47411;7.89566;7.369;7.3745;7.79822;
267608_at;7.79743;7.72513;8.12854;7.89284;8.26517;7.65674;7.6358;7.66365;
267609_at;8.04649;8.22495;7.99957;8.10817;7.68003;8.00663;8.1461;7.92739;
267610_at;8.95215;8.97501;8.7541;8.91701;6.04337;6.27406;6.1512;5.6228;
267611_at;8.53861;8.73105;8.34823;8.48843;7.99686;7.43565;7.5928;7.7437;
267612_at;8.36025;8.22844;7.77755;7.79053;10.81972;10.98393;10.69726;10.93569;
267613_at;4.45972;4.24788;4.26025;4.47483;4.96824;4.35076;4.18318;4.42624;
267614_at;6.85195;6.96229;6.58357;6.6261;7.2012;7.68106;7.4341;7.14207;
267615_at;3.59212;3.48408;3.48255;3.36301;3.38224;3.89275;3.48633;3.49278;
267616_at;6.47522;6.66051;6.59883;6.72559;6.58763;7.01701;6.88771;6.78727;
267617_at;9.57825;9.55999;9.08126;9.14068;9.65134;9.05075;9.2681;9.73193;
267618_at;6.59667;6.76856;6.29214;7.06331;5.22358;5.24816;4.66781;4.70565;
267619_at;8.38698;8.20216;8.04551;8.05396;7.7558;7.74496;7.47295;7.3315;
267620_at;4.08836;3.92801;4.08889;3.75619;3.99138;4.3324;4.36611;4.3213;
267621_at;3.49;3.64951;3.58708;3.44398;3.39968;3.5943;3.59834;3.35328;
267622_at;4.6353;5.06643;4.17725;4.60368;5.1889;5.35269;5.52157;4.88291;
267623_at;6.44663;6.32051;9.55687;9.41199;6.08326;6.65276;6.53953;6.37619;
267624_at;8.09649;7.79852;8.49662;8.36243;7.44738;7.57701;7.6613;7.56229;
267590_at;9.99872;9.85865;10.24045;10.1629;7.79207;7.0233;6.62219;7.10325;
267591_at;5.71887;5.89704;5.58532;5.67141;6.09765;5.99063;5.62418;5.59081;
267592_at;6.02234;6.20406;5.99392;6.26917;5.69985;5.52006;5.58403;5.69282;
267562_at;6.60728;6.62762;6.69351;6.537;9.52255;9.24551;8.97968;9.24007;
267563_at;3.183;3.22266;3.1557;3.18034;3.42029;3.27053;3.34027;3.35571;
267564_at;9.24198;9.26384;9.12081;9.10439;7.91669;7.95708;7.81854;7.74801;
267565_at;2.95506;3.12784;3.14391;3.44193;3.36231;3.86121;3.36544;3.34056;
267566_at;3.61575;3.72181;3.65583;3.62101;3.87759;4.21117;4.1243;4.15883;
267567_at;4.01304;3.80802;4.08485;4.06306;5.41125;5.41654;4.50499;4.53633;
267568_at;5.71874;5.46357;5.2751;5.37813;5.77067;5.86231;5.67902;5.73362;
267569_at;4.17104;4.14961;4.22975;4.19155;5.74633;5.67483;5.7866;5.7909;
267570_at;6.11641;6.04216;5.93485;5.94916;6.24661;6.45283;6.27494;5.98617;
267571_at;3.14813;3.17207;3.12006;3.18256;3.18893;3.49663;3.28136;3.64558;
267572_at;5.45164;5.55789;5.54752;5.46208;5.52446;5.3687;5.76142;5.5827;
267573_at;4.21601;4.04163;4.12557;4.15998;4.16863;4.15011;4.11941;4.27204;
267574_at;4.40901;4.27919;4.47341;4.38719;4.15234;4.41208;4.3349;4.52703;
267575_at;3.25087;3.19029;3.40803;3.28426;3.19303;3.41769;3.44809;3.33683;
267576_at;4.5352;4.60629;4.6931;4.89341;4.13917;4.10771;4.53562;4.4338;
267577_at;8.52219;8.51827;8.4968;8.45862;7.07944;6.99365;7.16459;7.24262;
267578_at;4.28449;4.42569;4.37008;4.57211;7.6958;5.92389;6.29432;7.40103;
267579_at;4.4587;4.28436;4.64423;4.63923;4.6108;4.63877;4.58669;4.47387;
267580_at;4.92485;4.79235;5.08492;5.00934;6.39228;6.35776;5.80437;5.82028;
267581_at;6.08687;6.20556;6.03673;6.10411;7.01183;6.22098;6.50422;6.86259;
267582_at;7.34269;7.56841;6.53045;6.62455;5.01515;4.6475;4.63728;4.91264;
267583_at;7.88851;8.02678;8.09982;7.97188;7.92558;7.83025;7.82296;7.94367;
267584_at;3.96311;4.04416;3.81885;4.10583;4.04532;4.24494;3.89352;4.25715;
267585_s_at;3.7293;3.86909;3.88852;3.75743;3.5949;3.82467;3.57388;3.54635;
267586_at;6.58905;6.58004;6.45865;6.526;9.44437;9.12283;9.01246;9.18592;
267587_at;6.27847;6.09394;6.12912;6.18624;6.87529;6.73828;6.80047;6.85893;
267588_at;7.16311;7.10082;6.91168;6.93682;3.91178;4.49272;4.12602;4.03053;
267589_at;2.81481;2.70187;2.51618;2.77464;2.89008;3.00875;2.94673;2.81495;
267530_at;5.98813;6.04175;7.19238;7.64769;6.76971;7.18085;7.36252;7.01898;
267531_at;3.08846;3.05165;3.14081;3.02242;3.13398;3.21183;3.32411;3.17611;
267532_at;5.90101;6.00818;5.81447;5.65823;6.86245;6.85389;6.876;6.17307;
267533_at;7.44717;7.59554;7.10032;7.23006;8.53047;8.16572;8.14001;8.18579;
267534_at;8.51368;8.37762;8.69107;8.42129;6.97352;6.84797;7.32277;7.10018;
267535_at;5.37603;5.61228;5.7996;5.60887;7.82711;7.6051;7.47247;7.65694;
267536_at;7.17244;7.28355;7.54694;7.48156;7.15993;7.57467;7.336;7.24266;
267537_at;7.07624;7.19484;7.50884;7.35245;7.3664;7.56528;7.45636;7.46525;
