"date","fondo 1","fondo 2","fondo 3","fondo 4","fondo 5","fondo 6","fondo 7","fondo 8","fondo 9","fondo 10","fondo 11","fondo 12","fondo 13","fondo 14","fondo 15","fondo 16","fondo 17","fondo 18","fondo 19","fondo 20","fondo 21","fondo 22","fondo 23","fondo 24","fondo 25","fondo 26","fondo 27","fondo 28","fondo 29","fondo 30","fondo 31"
2019-10-28,1.16387175254149,1.18614643783183,1.21209746924704,1.21211004255604,1.11446360153257,1.11448407948288,1.11907220042673,1.16330371602399,1.16402786573781,1.16448379012046,1.18614355201106,1.17448722447287,1.14842834830144,1.14900630150267,1.19695148601399,1.1266748271413,1.12647274179591,1.17918607005467,1.07720125786164,1.16361578584785,1.16438116100767,1.18454792553464,1.21134848411115,1.17149836086649,1.16270226537217,1.16248250884846,1.18615410034697,1.18610530944267,1.11433293269231,1.17594409024031,1.17590392396121
2019-10-29,1.15476601623208,1.19314758098653,1.20478267642935,1.20477031213565,1.14006704562017,1.14008840530432,1.11931034482759,1.15422755741127,1.15576814148153,1.17084486407293,1.19316852142306,1.17859546780346,1.1518540317834,1.15241852988455,1.2100752623194,1.13203722166833,1.13179538615848,1.18147640095514,1.07567057342877,1.15184805429422,1.15259317174876,1.19110915720603,1.20489622139436,1.18513425016372,1.1688385730575,1.16871063970832,1.19232691133196,1.1923204787234,1.13991058727901,1.17934347477982,1.17929032258065
2019-10-30,1.15585480599076,1.17450961209216,1.18876959913493,1.18874905030886,1.12624201987232,1.12625971782321,1.12278524646674,1.15528112362482,1.15711225903994,1.16288308740068,1.17450846131273,1.16542162572803,1.15114175345949,1.15170203467198,1.21217783151069,1.11335952848723,1.11311680611371,1.16828105395232,1.07389665462541,1.15331606470847,1.15372589890568,1.17284044715447,1.18871725990598,1.17818158049546,1.16104170047055,1.16095749071399,1.17413830715532,1.17410471318167,1.12540757461751,1.16561322474778,1.16560550108239
2019-10-31,1.13017651052274,1.15160434258142,1.17824056350969,1.17823111431285,1.10651470381314,1.10648973084498,1.12388953928793,1.12960588185005,1.1352408142999,1.13284498119184,1.15157874424102,1.14249641498847,1.15493923951392,1.15547445255474,1.22397718547768,1.09236882915482,1.09210868434737,1.14493827160494,1.06947599279392,1.13143957631199,1.12556970652128,1.14967809814875,1.17834213154516,1.14050841026938,1.13123068388937,1.13117794082077,1.15091701177863,1.15099302200751,1.10558823529412,1.14263482372658,1.14266006145356
2019-11-01,1.13351084062381,1.15603688406493,1.17227782832878,1.17226059603723,1.12065848320487,1.12067735337488,1.12628009964019,1.13293025632292,1.13710722884129,1.12719865240726,1.15601066000816,1.14591288690199,1.15564068562448,1.15622866061848,1.21471008911872,1.09212125087932,1.09186824498199,1.14986456537799,1.07388153749212,1.12715238140918,1.12360744961306,1.14391824526421,1.16559251070236,1.14050841026938,1.11818680887773,1.11953399297798,1.14445574771109,1.14576542880043,1.12041598248495,1.13730168197543,1.1385903524119
2019-11-02,1.12812315975435,1.16136347188382,1.15166865315852,1.15164548090095,1.10359368411189,1.10361626381862,1.12901435804952,1.12760096622452,1.13263235565394,1.09686273014905,1.16133622768934,1.14708807259618,1.16105792953716,1.16161121183907,1.22142936165505,1.0858714312965,1.0856521461012,1.14912885126489,1.07278306711779,1.12091581206773,1.1207481550598,1.1491311532876,1.14501594343546,1.073763171995,1.08798168637924,1.08920114897912,1.1497498789737,1.15105480702131,1.10285546358427,1.13770883054893,1.13901737717215
2019-11-03,1.12812315975435,1.16136347188382,1.15166865315852,1.15164548090095,1.10359368411189,1.10361626381862,1.12901435804952,1.12760096622452,1.13263235565394,1.09686273014905,1.16133622768934,1.14708807259618,1.16105792953716,1.16161121183907,1.22142936165505,1.0858714312965,1.0856521461012,1.14912885126489,1.07278306711779,1.12091581206773,1.1207481550598,1.1491311532876,1.14501594343546,1.073763171995,1.08798168637924,1.08920114897912,1.1497498789737,1.15105480702131,1.10285546358427,1.13770883054893,1.13901737717215
2019-11-04,1.139438041558,1.16712903770535,1.15829856972586,1.15824014782249,1.10106358056506,1.10108675285741,1.1261011306097,1.13891596389372,1.14542212383939,1.11439789578012,1.16710082006753,1.15389396482069,1.15873877430179,1.15925907776743,1.21180440314194,1.09175303617982,1.09153713298791,1.15542868392558,1.07356991108663,1.14147388504651,1.14000339299347,1.16500575892634,1.15703128610379,1.10317318568792,1.11285768790538,1.1128018011024,1.16701629820881,1.16699769177089,1.10285546358427,1.1535799522673,1.15364420552569
2019-11-05,1.14571464742372,1.1700358147249,1.18470712560386,1.1847882231405,1.13795235151458,1.13796710088428,1.13101437200583,1.14518940521236,1.15148527055343,1.14230635771292,1.17003532889519,1.15988074163794,1.15986612196683,1.16042623912406,1.20578813652933,1.10479261789968,1.10458692021072,1.16286853374022,1.08244659888074,1.14754255115701,1.14363350740882,1.16848070298068,1.18327402135231,1.144604710608,1.13498157248157,1.13490079675051,1.16995390717119,1.16992939666239,1.13735335056671,1.16098812578316,1.16095761970246
2019-11-06,1.1493262366409,1.16531515368975,1.1733433171097,1.1733380299731,1.12872079879427,1.12869049300749,1.13602838853326,1.14874239264587,1.15690273142998,1.13450247515254,1.16531534763579,1.15775293425413,1.16765549292989,1.16822154571344,1.21141719216728,1.09861801044453,1.09841107124552,1.15949987742094,1.08463603347545,1.15116557369202,1.14970824992547,1.16404483212804,1.17191564474173,1.13804367551872,1.13417916186082,1.13408433075178,1.16514642342775,1.16512296390929,1.12796021860076,1.15798549173505,1.15803899582633
